term,definition,domain,deck
A-B design,A two-phase experimental design consisting of a pretreatment baseline condition (A) followed by a treatment condition (B).,,
A-B-A design,"A three-phase experimental design consisting of an initial baseline (A), an intervention phase (B), and a return to baseline (A) to see if responding reverses.",,
A-B-A-B design,"An experimental design with baseline (A), intervention (B), return to baseline (A), and reintroduction of intervention (B).",,
abative effect,A decrease in the current frequency of behavior reinforced by a stimulus whose reinforcing effectiveness depends on the same motivating operation.,,
ABC recording,See anecdotal observation.,,
abolishing operation (AO),"A motivating operation that decreases the reinforcing effectiveness of a stimulus, object, or event.",,
acceptance and commitment therapy (ACT),An evidence-based behavior therapy focusing on general well-being by contacting high-priority positive reinforcers.,,
accuracy (of measurement),The extent to which observed values match the true state of the event as it exists in nature.,,
adapted alternating treatments design,A variation of the multielement design comparing efficiency of instructional procedures applied to equivalent sets of items.,,
add-in component analysis,A method for component analysis where components are assessed individually or in combination before presenting the full treatment package.,,
adjunctive behavior,"Collateral behavior induced by schedules of reinforcement during times when reinforcement is unlikely (e.g., doodling, smoking).",,
affirmation of the consequent,A reasoning form: If A then B; B is true; therefore A is true. Used in experiments to reduce alternative explanations.,,
alternating treatments design,See multielement design.,,
alternative schedule (alt),Reinforcement is provided when the response requirements of any of two or more schedules are met.,,
anecdotal observation,"Direct, continuous observation with descriptive account of behaviors and their antecedents and consequences.",,
antecedent,An environmental condition or stimulus change occurring before a behavior of interest.,,
antecedent exercise,An antecedent intervention where clients engage in aerobic activity to reduce problem behavior.,,
antecedent intervention,"A behavior change strategy manipulating antecedent stimuli based on motivating operations, stimulus control, or contingency-independent interventions.",,
antecedent stimulus class,A set of stimuli that evoke the same operant or respondent behavior.,,
applied behavior analysis (ABA),The science of applying principles of behavior to improve socially significant behavior using experimentation to identify variables.,,
arbitrarily applicable relational responding (AARR),Forming new stimulus classes with little or no reinforced practice.,,
arbitrary relations,"Stimuli responded to in interlocked ways due to social-verbal reinforcement, not physical similarity.",,
